,DATA,POTENCIA,RADIACAO,TEMPERATURA,P/R,R/P
121,2019-07-18 13,34.8,1792651.0,25.2,,51512.95977011495
122,2019-07-18 14,35.44,2231907.0,26.6,,62977.059819413094
123,2019-07-18 15,36.8,2445546.0,28.5,,66455.0543478261
124,2019-07-18 16,36.2,2497469.0,29.0,,68990.85635359115
125,2019-07-18 17,27.82,2314.52,29.6,,83.19626168224299
126,2019-07-18 18,26.74,1374073.0,29.3,,51386.42483171279
127,2019-07-18 19,21.74,1313682.0,29.7,,60426.95492180313
128,2019-07-18 20,19.78,299104.0,28.4,,15121.53690596562
129,2019-07-18 21,19.34,64679.0,26.3,,3344.3123061013443
130,2019-07-19 10,37.72,15532.0,18.3,,411.7709437963945
131,2019-07-19 11,36.42,442568.0,20.4,,12151.784733662822
132,2019-07-19 12,33.54,1194236.0,21.9,,35606.32081097198
133,2019-07-19 13,33.44,1825516.0,23.7,,54590.78947368421
134,2019-07-19 14,35.37999999999999,2268768.0,24.9,,64125.720746184306
135,2019-07-19 15,33.26,2495481.0,26.9,,75029.49488875526
136,2019-07-19 16,28.98,2527485.0,27.6,,87214.8033126294
137,2019-07-19 17,25.9,2379782.0,28.2,,91883.47490347491
138,2019-07-19 18,18.32,2016.29,28.6,,110.05949781659389
139,2019-07-19 19,15.74,1314054.0,27.8,,83485.00635324015
140,2019-07-19 20,15.1,186166.0,27.0,,12328.874172185431
141,2019-07-19 21,14.86,47601.0,24.1,,3203.297442799462
142,2019-07-20 10,21.8,15939.0,13.7,,731.1467889908257
143,2019-07-20 11,21.22,495519.0,19.4,,23351.508011310085
144,2019-07-20 12,19.38,1280944.0,21.5,,66096.18163054695
145,2019-07-20 13,19.48,1915343.0,23.9,,98323.56262833676
146,2019-07-20 14,19.24,2355828.0,25.2,,122444.28274428275
147,2019-07-20 15,19.24,2560862.0,26.1,,133100.93555093557
148,2019-07-20 16,11.88,2609.68,27.3,,219.67003367003363
149,2019-07-20 17,10.72,2453614.0,28.4,,228881.90298507462
150,2019-07-20 18,11.68,1991079.0,28.2,,170469.09246575343
151,2019-07-20 19,12.419999999999998,1334524.0,27.9,,107449.59742351048
152,2019-07-20 20,12.1,181614.0,25.9,,15009.421487603306
153,2019-07-20 21,11.9,82084.0,23.4,,6897.81512605042
154,2019-07-21 10,10.739999999999998,29005.0,11.8,,2700.6517690875235
155,2019-07-21 11,10.9,417529.0,16.8,,38305.4128440367
156,2019-07-21 12,10.9,1202.7,22.3,,110.33944954128441
157,2019-07-21 13,11.1,1861847.0,23.4,,167733.96396396396
158,2019-07-21 14,10.86,2057525.0,24.7,,189459.02394106815
159,2019-07-21 15,10.86,2529803.0,27.0,,232946.86924493554
160,2019-07-21 16,10.86,2289937.0,27.6,,210859.7605893186
161,2019-07-21 17,11.159999999999998,1874087.0,26.6,,167928.94265232977
162,2019-07-21 18,12.46,1953999.0,29.1,,156821.7495987159
163,2019-07-21 19,12.44,1062907.0,28.5,,85442.6848874598
164,2019-07-21 20,11.96,230576.0,27.5,,19278.929765886285
165,2019-07-21 21,11.98,64645.0,24.3,,5396.076794657763
166,2019-07-22 10,28.8,20373.0,17.5,,707.3958333333334
167,2019-07-22 11,29.32,499664.0,20.7,,17041.74624829468
168,2019-07-22 12,27.38,1137551.0,22.5,,41546.785975164355
169,2019-07-22 13,29.72,1836.46,24.7,,61.79205921938089
170,2019-07-22 14,31.28,2040627.0,26.6,,65237.43606138107
171,2019-07-22 15,32.059999999999995,1899474.0,27.3,,59247.473487211486
172,2019-07-22 16,30.94,2383621.0,26.6,,77040.10989010989
173,2019-07-22 17,26.54,2212435.0,27.8,,83362.283345893
174,2019-07-22 18,24.92,2084439.0,28.6,,83645.22471910111
175,2019-07-22 19,17.380000000000006,1342876.0,28.1,,77265.59263521286
176,2019-07-22 20,16.48,160189.0,26.6,,9720.206310679612
177,2019-07-22 21,16.22,44155.0,23.9,,2722.2564734895195
178,2019-07-23 10,29.880000000000006,14639.0,13.3,,489.9263721552877
179,2019-07-23 11,30.58,519856.0,16.4,,16999.86919555265
180,2019-07-23 12,28.48,1292819.0,19.1,,45393.925561797754
181,2019-07-23 13,29.7,1933547.0,23.6,,65102.59259259259
182,2019-07-23 14,33.36,2360591.0,25.6,,70761.1211031175
183,2019-07-23 15,33.06,2569183.0,26.2,,77712.73442226255
184,2019-07-23 16,31.36,2586386.0,27.9,,82474.04336734694
185,2019-07-23 17,22.94,2404175.0,27.5,,104802.74629468177
186,2019-07-23 18,17.52,1983043.0,28.3,,113187.38584474886
187,2019-07-23 19,15.679999999999998,1321209.0,27.9,,84260.7780612245
188,2019-07-23 20,14.22,166058.0,27.0,,11677.777777777777
