DATACOMUM,Unnamed: 0,PATIVA,PREATIVA,IDMEDIDOR
2019-07-21 05,1160.5,10.919999999999998,-2.24,2006001.0
2019-07-21 06,1164.5,11.2,-0.56,2006001.0
2019-07-21 07,1168.5,9.98,0.0,2006001.0
2019-07-21 08,1172.5,9.559999999999999,0.0,2006001.0
2019-07-21 09,1176.5,10.54,0.0,2006001.0
2019-07-21 10,1180.5,10.739999999999998,0.0,2006001.0
2019-07-21 11,1184.5,10.899999999999999,0.0,2006001.0
2019-07-21 12,1188.5,10.899999999999999,0.0,2006001.0
2019-07-21 13,1192.5,11.1,0.0,2006001.0
2019-07-21 14,1196.5,10.86,0.0,2006001.0
2019-07-21 15,1200.5,10.86,0.0,2006001.0
2019-07-21 16,1204.5,10.860000000000001,0.0,2006001.0
2019-07-21 17,1208.5,11.159999999999998,0.0,2006001.0
2019-07-21 18,1212.5,12.46,0.0,2006001.0
2019-07-21 19,1216.5,12.440000000000001,0.0,2006001.0
2019-07-21 20,1220.5,11.96,0.0,2006001.0
2019-07-21 21,1224.5,11.98,0.0,2006001.0
2019-07-21 22,1228.5,11.8,0.0,2006001.0
2019-07-21 23,1232.5,11.56,0.0,2006001.0
2019-07-22 00,1236.5,11.379999999999999,-1.8199999999999998,2006001.0
2019-07-22 01,1240.5,11.32,-2.4000000000000004,2006001.0
2019-07-22 02,1244.5,11.239999999999998,-2.44,2006001.0
2019-07-22 03,1248.5,11.079999999999998,-2.48,2006001.0
2019-07-22 04,1252.5,10.620000000000001,-2.46,2006001.0
2019-07-22 05,1256.5,11.44,-2.4000000000000004,2006001.0
2019-07-22 06,1260.5,12.66,-0.62,2006001.0
2019-07-22 07,1264.5,18.16,0.0,2006001.0
2019-07-22 08,1268.5,24.68,0.0,2006001.0
2019-07-22 09,1272.5,28.58,0.0,2006001.0
2019-07-22 10,1276.5,28.799999999999997,0.0,2006001.0
2019-07-22 11,1280.5,29.32,0.0,2006001.0
2019-07-22 12,1284.5,27.38,0.0,2006001.0
2019-07-22 13,1288.5,29.720000000000002,0.0,2006001.0
2019-07-22 14,1292.5,31.28,0.0,2006001.0
2019-07-22 15,1296.5,32.059999999999995,0.0,2006001.0
2019-07-22 16,1300.5,30.94,0.0,2006001.0
2019-07-22 17,1304.5,26.54,0.0,2006001.0
2019-07-22 18,1308.5,24.92,0.0,2006001.0
2019-07-22 19,1312.5,17.380000000000003,0.0,2006001.0
2019-07-22 20,1316.5,16.48,0.0,2006001.0
2019-07-22 21,1320.5,16.22,0.0,2006001.0
2019-07-22 22,1324.5,15.059999999999999,0.0,2006001.0
2019-07-22 23,1328.5,14.58,0.0,2006001.0
2019-07-23 00,1332.5,14.22,-4.4399999999999995,2006001.0
2019-07-23 01,1336.5,14.02,-5.8,2006001.0
2019-07-23 02,1340.5,13.86,-5.84,2006001.0
2019-07-23 03,1344.5,13.5,-5.8999999999999995,2006001.0
2019-07-23 04,1348.5,13.52,-5.98,2006001.0
2019-07-23 05,1352.5,13.98,-5.92,2006001.0
2019-07-23 06,1356.5,14.44,-1.48,2006001.0
2019-07-23 07,1360.5,21.82,0.0,2006001.0
2019-07-23 08,1364.5,25.980000000000004,0.0,2006001.0
2019-07-23 09,1368.5,27.62,0.0,2006001.0
2019-07-23 10,1372.5,29.880000000000003,0.0,2006001.0
2019-07-23 11,1376.5,30.58,0.0,2006001.0
2019-07-23 12,1380.5,28.48,0.0,2006001.0
2019-07-23 13,1384.5,29.699999999999996,0.0,2006001.0
2019-07-23 14,1388.5,33.36,0.0,2006001.0
2019-07-23 15,1392.5,33.06,0.0,2006001.0
2019-07-23 16,1396.5,31.359999999999996,0.0,2006001.0
2019-07-23 17,1400.5,22.939999999999998,0.0,2006001.0
2019-07-23 18,1404.5,17.52,0.0,2006001.0
2019-07-23 19,1408.5,15.679999999999998,0.0,2006001.0
2019-07-23 20,1412.5,14.22,0.0,2006001.0
2019-07-23 21,1416.5,13.739999999999998,0.0,2006001.0
2019-07-23 22,1420.5,12.86,0.0,2006001.0
2019-07-23 23,1424.5,12.96,0.0,2006001.0
2019-07-24 00,1428.5,12.340000000000002,-4.42,2006001.0
2019-07-24 01,1432.5,11.799999999999999,-5.9399999999999995,2006001.0
2019-07-24 02,1436.5,12.120000000000001,-5.84,2006001.0
2019-07-24 03,1440.5,11.58,-6.04,2006001.0
2019-07-24 04,1444.5,11.379999999999999,-5.94,2006001.0
2019-07-24 05,1448.5,12.059999999999999,-5.9399999999999995,2006001.0
2019-07-24 06,1452.5,12.32,-1.52,2006001.0
2019-07-24 07,1456.5,20.060000000000002,0.0,2006001.0
2019-07-24 08,1460.5,29.28,0.0,2006001.0
2019-07-24 09,1464.5,32.239999999999995,0.0,2006001.0
2019-07-24 10,1468.5,33.239999999999995,0.0,2006001.0
2019-07-24 11,1472.5,33.4,0.0,2006001.0
2019-07-24 12,1476.5,30.48,0.0,2006001.0
2019-07-24 13,1480.5,31.56,0.0,2006001.0
2019-07-24 14,1484.5,33.72,0.0,2006001.0
2019-07-24 15,1488.5,34.72,0.0,2006001.0
2019-07-24 16,1492.5,33.78,0.0,2006001.0
2019-07-24 17,1496.5,27.7,0.0,2006001.0
2019-07-24 18,1500.5,24.639999999999997,0.0,2006001.0
2019-07-24 19,1504.5,17.02,0.0,2006001.0
2019-07-24 20,1508.5,15.719999999999999,0.0,2006001.0
2019-07-24 21,1512.5,15.46,0.0,2006001.0
2019-07-24 22,1516.5,14.42,0.0,2006001.0
2019-07-24 23,1520.5,13.719999999999999,0.0,2006001.0
2019-07-25 00,1524.5,13.14,-4.859999999999999,2006001.0
2019-07-25 01,1528.5,13.319999999999999,-6.38,2006001.0
2019-07-25 02,1532.5,12.92,-6.42,2006001.0
2019-07-25 03,1536.5,12.68,-6.46,2006001.0
2019-07-25 04,1540.5,12.600000000000001,-6.46,2006001.0
2019-07-25 05,1544.5,13.2,-6.48,2006001.0
2019-07-25 06,1548.5,14.08,-1.68,2006001.0
2019-07-25 07,1552.5,20.22,0.0,2006001.0
2019-07-25 08,1556.5,28.32,0.0,2006001.0
2019-07-25 09,1560.5,29.8,0.0,2006001.0
2019-07-25 10,1564.5,30.38,0.0,2006001.0
2019-07-25 11,1568.5,31.6,0.0,2006001.0
2019-07-25 12,1572.5,29.5,0.0,2006001.0
2019-07-25 13,1576.5,31.16,0.0,2006001.0
2019-07-25 14,1580.5,37.48,0.16,2006001.0
2019-07-25 15,1584.5,40.459999999999994,0.45999999999999996,2006001.0
2019-07-25 16,1588.5,34.739999999999995,0.0,2006001.0
2019-07-25 17,1592.5,26.94,0.0,2006001.0
2019-07-25 18,1596.5,21.04,0.0,2006001.0
2019-07-25 19,1600.5,18.86,0.0,2006001.0
2019-07-25 20,1604.5,17.78,0.0,2006001.0
2019-07-25 21,1608.5,16.98,0.0,2006001.0
2019-07-25 22,1612.5,15.879999999999999,0.0,2006001.0
2019-07-25 23,1616.5,15.319999999999999,0.0,2006001.0
2019-07-26 00,1620.5,15.059999999999999,-5.22,2006001.0
2019-07-26 01,1624.5,14.82,-7.0,2006001.0
2019-07-26 02,1628.5,14.940000000000001,-7.04,2006001.0
2019-07-26 03,1632.5,14.440000000000001,-7.16,2006001.0
2019-07-26 04,1636.5,14.219999999999999,-7.180000000000001,2006001.0
2019-07-26 05,1640.5,14.979999999999999,-7.08,2006001.0
2019-07-26 06,1644.5,15.14,-1.82,2006001.0
2019-07-26 07,1648.5,23.439999999999998,0.0,2006001.0
2019-07-26 08,1652.5,31.04,0.0,2006001.0
2019-07-26 09,1656.5,33.17999999999999,0.0,2006001.0
2019-07-26 10,1660.5,33.48,0.02,2006001.0
2019-07-26 11,1664.5,32.12,0.0,2006001.0
2019-07-26 12,1668.5,29.0,0.0,2006001.0
2019-07-26 13,1672.5,30.520000000000003,0.0,2006001.0
2019-07-26 14,1676.5,33.18,0.0,2006001.0
2019-07-26 15,1680.5,31.16,0.0,2006001.0
2019-07-26 16,1684.5,28.6,0.0,2006001.0
2019-07-26 17,1688.5,25.34,0.0,2006001.0
2019-07-26 18,1692.5,23.360000000000003,0.0,2006001.0
2019-07-26 19,1696.5,21.02,0.0,2006001.0
2019-07-26 20,1700.5,20.279999999999998,0.0,2006001.0
2019-07-26 21,1704.5,20.14,0.0,2006001.0
2019-07-26 22,1708.5,19.4,0.0,2006001.0
2019-07-26 23,1712.5,18.62,0.0,2006001.0
2019-07-27 00,1716.5,18.339999999999996,-6.959999999999999,2006001.0
2019-07-27 01,1720.5,18.82,-9.0,2006001.0
2019-07-27 02,1724.5,18.78,-8.96,2006001.0
2019-07-27 03,1728.5,18.080000000000002,-9.1,2006001.0
2019-07-27 04,1732.5,17.5,-9.34,2006001.0
2019-07-27 05,1736.5,17.939999999999998,-9.32,2006001.0
2019-07-27 06,1740.5,17.86,-2.34,2006001.0
2019-07-27 07,1744.5,18.94,0.0,2006001.0
2019-07-27 08,1748.5,20.54,0.0,2006001.0
2019-07-27 09,1752.5,25.299999999999997,0.0,2006001.0
2019-07-27 10,1756.5,21.24,0.0,2006001.0
2019-07-27 11,1760.5,20.52,0.0,2006001.0
2019-07-27 12,1764.5,18.56,0.0,2006001.0
2019-07-27 13,1768.5,18.2,0.0,2006001.0
2019-07-27 14,1772.5,16.6,0.0,2006001.0
2019-07-27 15,1776.5,15.58,0.0,2006001.0
2019-07-27 16,1780.5,15.14,0.0,2006001.0
