,DATA,PATIVA,PREATIVA,IDMEDIDOR
500,2019-03-19 13:15:00,162.0,83.16,2004001
501,2019-03-19 13:30:00,173.88,93.42,2004001
502,2019-03-19 13:45:00,152.82,0.0,2004001
503,2019-03-19 14:00:00,164.16,0.0,2004001
504,2019-03-19 14:15:00,152.82,0.0,2004001
505,2019-03-19 14:30:00,162.54,0.0,2004001
506,2019-03-19 14:45:00,211.68,0.0,2004001
507,2019-03-19 15:00:00,151.74,0.0,2004001
508,2019-03-19 15:15:00,168.48,0.0,2004001
509,2019-03-19 15:30:00,153.36,0.0,2004001
510,2019-03-19 15:45:00,159.84,0.0,2004001
511,2019-03-19 16:00:00,145.26,0.0,2004001
512,2019-03-19 16:15:00,127.98,0.0,2004001
513,2019-03-19 16:30:00,153.36,0.0,2004001
