,DATA,POTENCIA,RADIACAO,TEMPERATURA,P/R,R/P
590,2019-08-01 14,41.68,2364268.0,31.1,,56724.280230326294
591,2019-08-01 15,43.78,2584331.0,31.2,,59029.94518044769
592,2019-08-01 16,40.84,2622264.0,31.7,,64208.22722820764
593,2019-08-01 17,34.8,2494592.0,32.8,,71683.67816091955
594,2019-08-01 18,24.32,2097979.0,31.8,,86265.58388157895
595,2019-08-01 19,19.340000000000003,1501306.0,31.5,,77626.99069286452
596,2019-08-01 20,18.18,583113.0,31.0,,32074.422442244224
597,2019-08-01 21,17.96,49.58,27.4,,2.760579064587973
598,2019-08-01 22,17.880000000000006,0,25.2,,0.0
599,2019-08-01 23,16.36,0,24.2,,0.0
600,2019-08-02 00,15.42,0,21.9,,0.0
601,2019-08-02 01,15.3,0,20.4,,0.0
602,2019-08-02 02,14.88,0,18.5,,0.0
603,2019-08-02 03,14.48,0,18.3,,0.0
604,2019-08-02 04,14.42,0,17.4,,0.0
605,2019-08-02 05,14.8,0,16.3,,0.0
606,2019-08-02 06,15.4,0,15.5,,0.0
607,2019-08-02 07,25.280000000000005,0,15.5,,0.0
608,2019-08-02 08,37.32000000000001,0,15.1,,0.0
609,2019-08-02 09,43.5,0,14.4,,0.0
610,2019-08-02 10,40.22,29251.0,15.0,,727.274987568374
611,2019-08-02 11,37.98,389244.0,17.9,,10248.657187993682
612,2019-08-02 12,33.379999999999995,1024.9,22.5,,30.70401437986819
613,2019-08-02 13,34.52,1799.5,26.1,,52.129200463499416
